0.95,0.59,0.12,0.22,0.69
0.15,0.52,0.66,0.63,0.74
0.57,0.34,0.02,0.63,0.81
0.12,0.39,0.91,0.89,0.08
0.44,0.10,0.69,0.78,0.40
0.14,0.60,0.25,0.40,0.82
0.66,0.18,0.39,0.91,0.07
0.32,0.11,0.97,0.85,0.24
0.05,0.09,0.23,0.79,0.61
0.64,0.73,0.29,0.97,0.27
0.05,0.07,0.41,0.58,0.45
0.57,0.70,0.53,0.66,0.16
0.22,0.58,0.18,0.07,0.10
0.79,0.05,0.72,0.79,0.25
0.75,0.77,0.65,0.92,0.20
0.85,0.77,0.11,0.08,0.68
0.50,0.43,0.43,0.62,0.92
0.72,0.05,0.99,0.23,0.30
0.21,0.12,0.35,0.27,0.51
0.03,0.97,0.84,0.38,0.66
0.76,0.29,0.45,0.78,0.36
0.18,0.80,0.96,0.40,0.72
0.22,0.60,0.79,0.44,0.55
0.83,0.02,0.82,0.74,0.64
0.24,0.70,0.74,0.58,0.91
0.03,0.74,0.45,0.28,0.75
0.66,0.44,0.04,0.28,0.48
0.98,0.92,0.28,0.21,0.97
0.37,0.41,0.58,0.32,0.20
0.61,0.36,0.15,0.43,0.61
0.43,0.00,0.09,0.18,0.66
0.55,0.63,0.90,0.88,0.87
0.53,0.15,0.19,0.51,0.81
0.68,0.37,0.78,0.59,0.47
0.02,0.71,0.65,0.13,0.12
0.54,0.97,0.34,0.20,0.16
0.87,0.94,0.08,0.87,0.91
0.59,0.92,0.35,0.53,0.70
0.77,0.21,0.13,0.95,0.08
0.76,0.04,0.16,0.63,0.72
0.44,0.59,0.31,0.22,0.19
0.55,0.27,0.57,0.30,0.80
0.82,0.50,0.25,0.57,0.93
0.08,0.83,0.96,0.12,0.92
0.80,0.82,0.56,0.09,0.35
0.44,0.91,0.21,0.23,0.75
0.46,0.90,0.62,0.70,0.74
0.55,0.74,0.80,0.82,0.80
0.43,0.62,0.26,0.76,0.62
0.94,0.73,0.68,0.11,0.94
0.44,0.35,0.27,0.29,0.03
0.51,0.47,0.31,0.59,0.87
0.80,0.54,0.27,0.87,0.98
0.70,0.52,0.64,0.31,0.43
0.75,0.99,0.22,0.87,0.65
